ID,Name,Ticker,Asset Class,Annual Drift (mu),Annual Volatility (sig),Risk-Free Rate (rf),Base Price,Currency
pavnaind,Pavna Industries Limited,PAVNAIND,indian-stock,0.114,0.377,0.065,7933.25,₹
wewin,WE WIN LIMITED,WEWIN,indian-stock,0.183,0.463,0.065,9483.24,₹
tcc,TCC Concept Limited,TCC,indian-stock,0.161,0.544,0.065,3945.38,₹
niitmts,NIIT Learning Systems Limited,NIITMTS,indian-stock,0.211,0.547,0.065,1819.75,₹
stlnetwork,STL Networks Limited,STLNETWORK,indian-stock,0.113,0.298,0.065,7407.24,₹
haleoslabs,HALEOS LABS LIMITED,HALEOSLABS,indian-stock,0.130,0.399,0.065,7064.18,₹
dbl,Dilip Buildcon Limited,DBL,indian-stock,0.129,0.390,0.065,1506.81,₹
onesource,Onesource Specialty Pharma Limited,ONESOURCE,indian-stock,0.213,0.490,0.065,8122.97,₹
advenzymes,Advanced Enzyme Technologies Limited,ADVENZYMES,indian-stock,0.216,0.381,0.065,1838.01,₹
coffeeday,Coffee Day Enterprises Limited,COFFEEDAY,indian-stock,0.085,0.201,0.065,6056.46,₹
tntele,Tamilnadu Telecommunication Limited,TNTELE,indian-stock,0.083,0.357,0.065,3384.17,₹
gvkpil,GVK Power & Infrastructure Limited,GVKPIL,indian-stock,0.166,0.478,0.065,3473.51,₹
bbtc,The Bombay Burmah Trading Corporation Limited,BBTC,indian-stock,0.105,0.477,0.065,8695.35,₹
jbma,JBM Auto Limited,JBMA,indian-stock,0.088,0.235,0.065,7076.49,₹
vhl,Vardhman Holdings Limited,VHL,indian-stock,0.100,0.221,0.065,5310.32,₹
fel,Future Enterprises Limited,FEL,indian-stock,0.131,0.207,0.065,7074.93,₹
sbglp,Suratwwala Business Group Limited,SBGLP,indian-stock,0.173,0.397,0.065,3431.95,₹
avg,AVG Logistics Limited,AVG,indian-stock,0.125,0.541,0.065,7350.29,₹
panache,Panache Digilife Limited,PANACHE,indian-stock,0.141,0.417,0.065,4923.28,₹
asms,Bartronics India Limited,ASMS,indian-stock,0.124,0.442,0.065,5663.58,₹
indiaglyco,India Glycols Limited,INDIAGLYCO,indian-stock,0.205,0.407,0.065,3632.57,₹
3bblackbio,3B Blackbio Dx Limited,3BBLACKBIO,indian-stock,0.173,0.481,0.065,3846.00,₹
jagsnpharm,Jagsonpal Pharmaceuticals Limited,JAGSNPHARM,indian-stock,0.183,0.289,0.065,1859.31,₹
fedfina,Fedbank Financial Services Limited,FEDFINA,indian-stock,0.080,0.440,0.065,5771.06,₹
paradeep,Paradeep Phosphates Limited,PARADEEP,indian-stock,0.199,0.465,0.065,5718.08,₹
affordable,Affordable Robotic & Automation Limited,AFFORDABLE,indian-stock,0.105,0.298,0.065,8107.19,₹
rainbow,Rainbow Childrens Medicare Limited,RAINBOW,indian-stock,0.166,0.417,0.065,1130.69,₹
hdfcbank,HDFC Bank Limited,HDFCBANK,indian-stock,0.149,0.303,0.065,870.29,₹
hisarmetal,Hisar Metal Industries Limited,HISARMETAL,indian-stock,0.129,0.298,0.065,6398.25,₹
hilinfra,Highway Infrastructure Limited,HILINFRA,indian-stock,0.215,0.484,0.065,6733.24,₹
sundaram,Sundaram Multi Pap Limited,SUNDARAM,indian-stock,0.182,0.304,0.065,212.82,₹
vedl,Vedanta Limited,VEDL,indian-stock,0.109,0.436,0.065,3569.76,₹
praeng,Prajay Engineers Syndicate Limited,PRAENG,indian-stock,0.190,0.447,0.065,576.66,₹
jswsteel,JSW Steel Limited,JSWSTEEL,indian-stock,0.141,0.335,0.065,1746.75,₹
terasoft,Tera Software Limited,TERASOFT,indian-stock,0.138,0.506,0.065,3577.19,₹
marsons,Marsons Limited,MARSONS,indian-stock,0.133,0.487,0.065,7908.43,₹
mahseamles,Maharashtra Seamless Limited,MAHSEAMLES,indian-stock,0.161,0.461,0.065,2333.27,₹
kotharipro,Kothari Products Limited,KOTHARIPRO,indian-stock,0.143,0.476,0.065,430.79,₹
rblbank,RBL Bank Limited,RBLBANK,indian-stock,0.083,0.277,0.065,1136.78,₹
5paisa,5Paisa Capital Limited,5PAISA,indian-stock,0.128,0.509,0.065,1692.95,₹
mvgjl,Manoj Vaibhav Gems N Jewellers Limited,MVGJL,indian-stock,0.091,0.528,0.065,9782.61,₹
securkloud,SECUREKLOUD TECHNOLOGIES LIMITED,SECURKLOUD,indian-stock,0.127,0.545,0.065,8942.94,₹
morepenlab,Morepen Laboratories Limited,MOREPENLAB,indian-stock,0.179,0.340,0.065,6570.99,₹
parkhotels,Apeejay Surrendra Park Hotels Limited,PARKHOTELS,indian-stock,0.165,0.341,0.065,630.20,₹
palredtec,Palred Technologies Limited,PALREDTEC,indian-stock,0.126,0.541,0.065,4151.87,₹
taaltech,Taal Tech Limited,TAALTECH,indian-stock,0.158,0.522,0.065,5447.24,₹
chamblfert,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,indian-stock,0.172,0.290,0.065,1049.57,₹
nocil,NOCIL Limited,NOCIL,indian-stock,0.135,0.383,0.065,4960.39,₹
aye,Aye Finance Limited,AYE,indian-stock,0.088,0.181,0.065,967.52,₹
orienttech,Orient Technologies Limited,ORIENTTECH,indian-stock,0.195,0.411,0.065,4855.25,₹
ktkbank,The Karnataka Bank Limited,KTKBANK,indian-stock,0.094,0.257,0.065,6418.09,₹
bajajhldng,Bajaj Holdings & Investment Limited,BAJAJHLDNG,indian-stock,0.217,0.355,0.065,1243.54,₹
cte,Cambridge Technology Enterprises Limited,CTE,indian-stock,0.190,0.354,0.065,8959.29,₹
starhealth,Star Health and Allied Insurance Company Limited,STARHEALTH,indian-stock,0.117,0.417,0.065,3936.52,₹
navkarurb,Navkar Urbanstructure Limited,NAVKARURB,indian-stock,0.132,0.321,0.065,1947.17,₹
spectrum,Spectrum Electrical Industries Limited,SPECTRUM,indian-stock,0.086,0.343,0.065,2707.67,₹
surajest,Suraj Estate Developers Limited,SURAJEST,indian-stock,0.197,0.389,0.065,1596.19,₹
reliable,Reliable Data Services Limited,RELIABLE,indian-stock,0.178,0.216,0.065,6714.60,₹
indothai,Indo Thai Securities Limited,INDOTHAI,indian-stock,0.193,0.333,0.065,7588.92,₹
oberoirlty,Oberoi Realty Limited,OBEROIRLTY,indian-stock,0.112,0.203,0.065,3932.35,₹
indusindbk,IndusInd Bank Limited,INDUSINDBK,indian-stock,0.153,0.537,0.065,6901.97,₹
3iinfoltd,3i Infotech Limited,3IINFOLTD,indian-stock,0.211,0.392,0.065,2432.86,₹
kkcl,Kewal Kiran Clothing Limited,KKCL,indian-stock,0.122,0.326,0.065,8554.00,₹
rkswamy,R K Swamy Limited,RKSWAMY,indian-stock,0.085,0.391,0.065,5216.49,₹
hmaagro,HMA Agro Industries Limited,HMAAGRO,indian-stock,0.160,0.544,0.065,1559.73,₹
ufbl,United Foodbrands Limited,UFBL,indian-stock,0.213,0.346,0.065,9495.71,₹
devx,Dev Accelerator Limited,DEVX,indian-stock,0.103,0.258,0.065,2007.99,₹
aartiind,Aarti Industries Limited,AARTIIND,indian-stock,0.086,0.209,0.065,6862.94,₹
ajaxengg,Ajax Engineering Limited,AJAXENGG,indian-stock,0.108,0.484,0.065,1563.99,₹
nittagela,Nitta Gelatin India Limited,NITTAGELA,indian-stock,0.163,0.298,0.065,7298.32,₹
irfc,Indian Railway Finance Corporation Limited,IRFC,indian-stock,0.193,0.212,0.065,5608.01,₹
innovision,Innovision Limited,INNOVISION,indian-stock,0.157,0.497,0.065,5244.91,₹
sampann,Sampann Utpadan India Limited,SAMPANN,indian-stock,0.208,0.185,0.065,7034.08,₹
unominda,UNO Minda Limited,UNOMINDA,indian-stock,0.162,0.469,0.065,1213.94,₹
kirlpnu,Kirloskar Pneumatic Company Limited,KIRLPNU,indian-stock,0.101,0.390,0.065,5868.50,₹
dhampursug,Dhampur Sugar Mills Limited,DHAMPURSUG,indian-stock,0.215,0.217,0.065,1145.78,₹
secmark,SecMark Consultancy Limited,SECMARK,indian-stock,0.189,0.471,0.065,8688.01,₹
zeel,Zee Entertainment Enterprises Limited,ZEEL,indian-stock,0.203,0.505,0.065,2714.95,₹
federalbnk,The Federal Bank  Limited,FEDERALBNK,indian-stock,0.172,0.392,0.065,4783.16,₹
tatacomm,Tata Communications Limited,TATACOMM,indian-stock,0.104,0.329,0.065,6220.62,₹
redington,Redington Limited,REDINGTON,indian-stock,0.175,0.329,0.065,4018.35,₹
saiparent,Sai Parenterals Limited,SAIPARENT,indian-stock,0.203,0.435,0.065,587.98,₹
albertdavd,Albert David Limited,ALBERTDAVD,indian-stock,0.147,0.279,0.065,3787.16,₹
blackrose,Black Rose Inds. Limited,BLACKROSE,indian-stock,0.127,0.474,0.065,3178.40,₹
riil,Reliance Industrial Infrastructure Limited,RIIL,indian-stock,0.198,0.498,0.065,6880.04,₹
dji,Dow Jones,DJI,global-index,0.147,0.150,0.045,14117.78,$
ndx,NASDAQ 100,NDX,global-index,0.124,0.221,0.045,14872.13,$
spx,S&P 500,SPX,global-index,0.123,0.199,0.045,6303.61,$
ukx,FTSE 100,UKX,global-index,0.094,0.239,0.045,18065.30,$
dax,DAX 40,DAX,global-index,0.098,0.187,0.045,16834.68,$
cac,CAC 40,CAC,global-index,0.056,0.223,0.045,5427.83,$
nky,Nikkei 225,NKY,global-index,0.121,0.172,0.045,31879.11,$
hsi,Hang Seng,HSI,global-index,0.102,0.194,0.045,9428.28,$
shcomp,Shanghai Comp,SHCOMP,global-index,0.138,0.146,0.045,5132.22,$
as51,ASX 200,AS51,global-index,0.053,0.127,0.045,16333.88,$
sptsx,TSX Comp,SPTSX,global-index,0.070,0.168,0.045,20176.08,$
sx5e,Euro Stoxx 50,SX5E,global-index,0.090,0.240,0.045,28203.45,$
kospi,Kospi,KOSPI,global-index,0.074,0.184,0.045,19505.83,$
nifty,Nifty 50,NIFTY,global-index,0.146,0.182,0.045,23399.35,$
ibov,Bovespa,IBOV,global-index,0.084,0.229,0.045,12570.42,$
mexbol,IPC Mexico,MEXBOL,global-index,0.133,0.132,0.045,4015.67,$
smi,Swiss Market,SMI,global-index,0.055,0.231,0.045,31853.72,$
aex,AEX,AEX,global-index,0.071,0.149,0.045,11329.15,$
ibex,IBEX 35,IBEX,global-index,0.071,0.205,0.045,21991.41,$
ftsemib,FTSE MIB,FTSEMIB,global-index,0.136,0.246,0.045,28241.39,$
bax,Baxter International,BAX,us-stock,0.208,0.242,0.045,181.47,$
foxa,Fox Corporation (Class A),FOXA,us-stock,0.296,0.285,0.045,612.26,$
nflx,Netflix,NFLX,us-stock,0.335,0.515,0.045,712.27,$
eqr,Equity Residential,EQR,us-stock,0.154,0.601,0.045,853.07,$
gd,General Dynamics,GD,us-stock,0.204,0.283,0.045,309.12,$
cdw,CDW Corporation,CDW,us-stock,0.221,0.473,0.045,588.64,$
d,Dominion Energy,D,us-stock,0.082,0.650,0.045,966.82,$
payx,Paychex,PAYX,us-stock,0.307,0.444,0.045,597.83,$
br,Broadridge Financial Solutions,BR,us-stock,0.156,0.502,0.045,486.92,$
kmi,Kinder Morgan,KMI,us-stock,0.171,0.310,0.045,331.89,$
ea,Electronic Arts,EA,us-stock,0.155,0.488,0.045,952.67,$
ni,NiSource,NI,us-stock,0.256,0.269,0.045,522.12,$
q,Qnity Electronics,Q,us-stock,0.145,0.207,0.045,858.74,$
dltr,Dollar Tree,DLTR,us-stock,0.299,0.370,0.045,326.39,$
lmt,Lockheed Martin,LMT,us-stock,0.118,0.192,0.045,502.40,$
hii,Huntington Ingalls Industries,HII,us-stock,0.160,0.606,0.045,410.55,$
mas,Masco,MAS,us-stock,0.279,0.454,0.045,994.81,$
iex,IDEX Corporation,IEX,us-stock,0.300,0.341,0.045,716.24,$
cbre,CBRE Group,CBRE,us-stock,0.265,0.480,0.045,480.98,$
expd,Expeditors International,EXPD,us-stock,0.334,0.348,0.045,307.19,$
csgp,CoStar Group,CSGP,us-stock,0.126,0.489,0.045,562.67,$
so,Southern Company,SO,us-stock,0.159,0.401,0.045,743.51,$
apo,Apollo Global Management,APO,us-stock,0.276,0.443,0.045,913.50,$
bk,BNY Mellon,BK,us-stock,0.336,0.603,0.045,657.89,$
otis,Otis Worldwide,OTIS,us-stock,0.140,0.285,0.045,872.72,$
aes,AES Corporation,AES,us-stock,0.194,0.597,0.045,377.97,$
cor,Cencora,COR,us-stock,0.238,0.398,0.045,126.60,$
vrsn,Verisign,VRSN,us-stock,0.094,0.478,0.045,584.51,$
khc,Kraft Heinz,KHC,us-stock,0.248,0.402,0.045,202.60,$
dis,Walt Disney Company (The),DIS,us-stock,0.112,0.500,0.045,534.54,$
hon,Honeywell,HON,us-stock,0.192,0.589,0.045,159.27,$
now,ServiceNow,NOW,us-stock,0.348,0.341,0.045,987.32,$
aptv,Aptiv,APTV,us-stock,0.321,0.644,0.045,151.79,$
it,Gartner,IT,us-stock,0.313,0.265,0.045,90.00,$
gddy,GoDaddy,GDDY,us-stock,0.170,0.644,0.045,320.28,$
hood,Robinhood Markets,HOOD,us-stock,0.096,0.392,0.045,217.29,$
mo,Altria,MO,us-stock,0.289,0.451,0.045,166.85,$
stt,State Street Corporation,STT,us-stock,0.292,0.546,0.045,138.11,$
pfg,Principal Financial Group,PFG,us-stock,0.197,0.382,0.045,434.74,$
anet,Arista Networks,ANET,us-stock,0.209,0.182,0.045,538.44,$
cvna,Carvana,CVNA,us-stock,0.277,0.627,0.045,893.09,$
dg,Dollar General,DG,us-stock,0.284,0.430,0.045,27.74,$
bmy,Bristol Myers Squibb,BMY,us-stock,0.081,0.525,0.045,234.00,$
ip,International Paper,IP,us-stock,0.317,0.327,0.045,111.68,$
ess,Essex Property Trust,ESS,us-stock,0.216,0.324,0.045,74.63,$
casy,Casey's,CASY,us-stock,0.092,0.626,0.045,461.37,$
wdc,Western Digital,WDC,us-stock,0.220,0.426,0.045,439.33,$
avb,AvalonBay Communities,AVB,us-stock,0.265,0.243,0.045,996.18,$
mgm,MGM Resorts,MGM,us-stock,0.212,0.533,0.045,173.23,$
ttd,Trade Desk (The),TTD,us-stock,0.325,0.562,0.045,28.93,$
eog,EOG Resources,EOG,us-stock,0.141,0.643,0.045,219.08,$
pool,Pool Corporation,POOL,us-stock,0.086,0.417,0.045,131.93,$
snps,Synopsys,SNPS,us-stock,0.272,0.552,0.045,381.44,$
txt,Textron,TXT,us-stock,0.253,0.542,0.045,626.90,$
tgt,Target Corporation,TGT,us-stock,0.240,0.203,0.045,117.03,$
eqix,Equinix,EQIX,us-stock,0.306,0.203,0.045,124.63,$
adsk,Autodesk,ADSK,us-stock,0.200,0.238,0.045,260.21,$
nrg,NRG Energy,NRG,us-stock,0.270,0.277,0.045,688.88,$
ge,GE Aerospace,GE,us-stock,0.083,0.378,0.045,109.97,$
dpz,Domino's,DPZ,us-stock,0.220,0.473,0.045,703.72,$
rost,Ross Stores,ROST,us-stock,0.193,0.602,0.045,516.47,$
intc,Intel,INTC,us-stock,0.247,0.313,0.045,786.91,$
hal,Halliburton,HAL,us-stock,0.214,0.466,0.045,780.18,$
ctva,Corteva,CTVA,us-stock,0.305,0.637,0.045,364.34,$
cmcsa,Comcast,CMCSA,us-stock,0.191,0.255,0.045,552.66,$
acn,Accenture,ACN,us-stock,0.326,0.503,0.045,485.86,$
stx,Seagate Technology,STX,us-stock,0.143,0.186,0.045,98.11,$
vlo,Valero Energy,VLO,us-stock,0.110,0.450,0.045,499.16,$
tdy,Teledyne Technologies,TDY,us-stock,0.336,0.546,0.045,84.30,$
shw,Sherwin-Williams,SHW,us-stock,0.275,0.605,0.045,647.89,$
nee,NextEra Energy,NEE,us-stock,0.203,0.639,0.045,271.48,$
cnp,CenterPoint Energy,CNP,us-stock,0.094,0.562,0.045,875.40,$
dell,Dell Technologies,DELL,us-stock,0.310,0.349,0.045,680.00,$
gnrc,Generac,GNRC,us-stock,0.195,0.234,0.045,852.73,$
hca,HCA Healthcare,HCA,us-stock,0.320,0.185,0.045,147.01,$
irm,Iron Mountain,IRM,us-stock,0.255,0.334,0.045,895.58,$
fast,Fastenal,FAST,us-stock,0.338,0.306,0.045,735.74,$
rsg,Republic Services,RSG,us-stock,0.181,0.341,0.045,122.69,$
ndsn,Nordson Corporation,NDSN,us-stock,0.188,0.395,0.045,837.35,$
hwm,Howmet Aerospace,HWM,us-stock,0.266,0.405,0.045,427.52,$
txn,Texas Instruments,TXN,us-stock,0.319,0.258,0.045,141.19,$
abnb,Airbnb,ABNB,us-stock,0.276,0.641,0.045,845.91,$
amd,Advanced Micro Devices,AMD,us-stock,0.108,0.608,0.045,487.85,$
rol,"""Rollins",ROL,us-stock,0.234,0.386,0.045,615.21,$
ibkr,Interactive Brokers,IBKR,us-stock,0.290,0.467,0.045,863.95,$
l,Loews Corporation,L,us-stock,0.318,0.522,0.045,892.85,$
chtr,Charter Communications,CHTR,us-stock,0.210,0.409,0.045,888.72,$
oxy,Occidental Petroleum,OXY,us-stock,0.199,0.210,0.045,658.42,$
rop,Roper Technologies,ROP,us-stock,0.083,0.588,0.045,529.57,$
mco,Moody's Corporation,MCO,us-stock,0.281,0.520,0.045,231.75,$
lyb,LyondellBasell,LYB,us-stock,0.338,0.590,0.045,523.91,$
axp,American Express,AXP,us-stock,0.266,0.471,0.045,438.52,$
bldr,Builders FirstSource,BLDR,us-stock,0.276,0.407,0.045,667.07,$
pep,PepsiCo,PEP,us-stock,0.253,0.250,0.045,828.17,$
kkr,KKR & Co.,KKR,us-stock,0.321,0.468,0.045,21.53,$
gev,GE Vernova,GEV,us-stock,0.332,0.418,0.045,474.60,$
rok,Rockwell Automation,ROK,us-stock,0.214,0.258,0.045,753.92,$
cnc,Centene Corporation,CNC,us-stock,0.167,0.336,0.045,285.38,$
fdx,FedEx,FDX,us-stock,0.217,0.439,0.045,384.85,$
ben,Franklin Resources,BEN,us-stock,0.301,0.217,0.045,449.75,$
coo,Cooper Companies (The),COO,us-stock,0.235,0.221,0.045,503.47,$
dhi,D. R. Horton,DHI,us-stock,0.165,0.641,0.045,747.79,$
hrl,Hormel Foods,HRL,us-stock,0.085,0.370,0.045,45.47,$
lly,Lilly (Eli),LLY,us-stock,0.228,0.568,0.045,793.87,$
vrtx,Vertex Pharmaceuticals,VRTX,us-stock,0.340,0.480,0.045,891.21,$
pkg,Packaging Corporation of America,PKG,us-stock,0.232,0.488,0.045,461.65,$
ppg,PPG Industries,PPG,us-stock,0.172,0.568,0.045,818.42,$
cah,Cardinal Health,CAH,us-stock,0.308,0.336,0.045,769.74,$
msi,Motorola Solutions,MSI,us-stock,0.242,0.517,0.045,369.66,$
ma,Mastercard,MA,us-stock,0.202,0.226,0.045,662.32,$
rvty,Revvity,RVTY,us-stock,0.081,0.347,0.045,637.32,$
dov,Dover Corporation,DOV,us-stock,0.296,0.437,0.045,380.15,$
mu,Micron Technology,MU,us-stock,0.109,0.602,0.045,497.50,$
aapl,Apple Inc.,AAPL,us-stock,0.302,0.529,0.045,270.47,$
hban,Huntington Bancshares,HBAN,us-stock,0.149,0.272,0.045,129.54,$
ba,Boeing,BA,us-stock,0.310,0.281,0.045,826.31,$
ci,Cigna,CI,us-stock,0.131,0.339,0.045,759.58,$
on,ON Semiconductor,ON,us-stock,0.093,0.478,0.045,675.42,$
fang,Diamondback Energy,FANG,us-stock,0.113,0.599,0.045,462.81,$
invh,Invitation Homes,INVH,us-stock,0.239,0.417,0.045,964.22,$
dd,DuPont,DD,us-stock,0.081,0.526,0.045,557.69,$
ame,Ametek,AME,us-stock,0.197,0.455,0.045,925.13,$
eg,Everest Group,EG,us-stock,0.291,0.608,0.045,694.90,$
afl,Aflac,AFL,us-stock,0.127,0.563,0.045,112.52,$
jci,Johnson Controls,JCI,us-stock,0.258,0.465,0.045,328.63,$
well,Welltower,WELL,us-stock,0.318,0.377,0.045,612.90,$
hpq,HP Inc.,HPQ,us-stock,0.267,0.297,0.045,403.89,$
cmi,Cummins,CMI,us-stock,0.173,0.318,0.045,806.75,$
dhr,Danaher Corporation,DHR,us-stock,0.117,0.463,0.045,887.57,$
glw,Corning Inc.,GLW,us-stock,0.218,0.576,0.045,552.33,$
fis,Fidelity National Information Services,FIS,us-stock,0.165,0.526,0.045,558.05,$
ibm,IBM,IBM,us-stock,0.139,0.279,0.045,717.24,$
grmn,Garmin,GRMN,us-stock,0.265,0.613,0.045,141.35,$
gpn,Global Payments,GPN,us-stock,0.272,0.638,0.045,186.03,$
abt,Abbott Laboratories,ABT,us-stock,0.226,0.479,0.045,713.25,$
all,Allstate,ALL,us-stock,0.285,0.444,0.045,586.98,$
ddog,Datadog,DDOG,us-stock,0.335,0.514,0.045,677.50,$
jbl,Jabil,JBL,us-stock,0.321,0.431,0.045,878.70,$
bf.b,Brown–Forman,BF.B,us-stock,0.194,0.186,0.045,115.41,$
ptc,PTC Inc.,PTC,us-stock,0.183,0.205,0.045,66.04,$
trow,T. Rowe Price,TROW,us-stock,0.152,0.549,0.045,983.70,$
phm,PulteGroup,PHM,us-stock,0.265,0.249,0.045,71.41,$
lrcx,Lam Research,LRCX,us-stock,0.292,0.276,0.045,545.76,$
de,Deere & Company,DE,us-stock,0.177,0.393,0.045,619.95,$
tfc,Truist Financial,TFC,us-stock,0.262,0.444,0.045,232.06,$
bx,Blackstone Inc.,BX,us-stock,0.255,0.363,0.045,515.81,$
vici,Vici Properties,VICI,us-stock,0.295,0.507,0.045,696.01,$
cost,Costco,COST,us-stock,0.093,0.359,0.045,422.40,$
dva,DaVita,DVA,us-stock,0.293,0.502,0.045,966.17,$
elv,Elevance Health,ELV,us-stock,0.095,0.530,0.045,211.06,$
sre,Sempra,SRE,us-stock,0.315,0.584,0.045,448.63,$
etn,Eaton Corporation,ETN,us-stock,0.141,0.478,0.045,712.45,$
maa,Mid-America Apartment Communities,MAA,us-stock,0.179,0.457,0.045,741.07,$
pgr,Progressive Corporation,PGR,us-stock,0.133,0.521,0.045,201.56,$
eqt,EQT Corporation,EQT,us-stock,0.201,0.642,0.045,83.72,$
ldos,Leidos,LDOS,us-stock,0.340,0.525,0.045,128.16,$
deck,Deckers Brands,DECK,us-stock,0.091,0.311,0.045,271.60,$
jkhy,Jack Henry & Associates,JKHY,us-stock,0.123,0.578,0.045,15.59,$
regn,Regeneron Pharmaceuticals,REGN,us-stock,0.206,0.621,0.045,49.54,$
vrsk,Verisk Analytics,VRSK,us-stock,0.331,0.461,0.045,775.92,$
duk,Duke Energy,DUK,us-stock,0.249,0.576,0.045,308.14,$
tap,Molson Coors Beverage Company,TAP,us-stock,0.293,0.439,0.045,82.15,$
lnt,Alliant Energy,LNT,us-stock,0.271,0.427,0.045,957.42,$
trmb,Trimble Inc.,TRMB,us-stock,0.221,0.550,0.045,167.78,$
goog,Alphabet Inc. (Class C),GOOG,us-stock,0.227,0.370,0.045,355.91,$
cpay,Corpay,CPAY,us-stock,0.319,0.492,0.045,337.76,$
low,Lowe's,LOW,us-stock,0.159,0.627,0.045,622.10,$
syf,Synchrony Financial,SYF,us-stock,0.208,0.444,0.045,754.61,$
lii,Lennox International,LII,us-stock,0.255,0.234,0.045,352.55,$
ntrs,Northern Trust,NTRS,us-stock,0.145,0.482,0.045,919.42,$
wfc,Wells Fargo,WFC,us-stock,0.146,0.199,0.045,886.80,$
dvn,Devon Energy,DVN,us-stock,0.183,0.554,0.045,122.24,$
fcx,Freeport-McMoRan,FCX,us-stock,0.149,0.520,0.045,34.46,$
exe,Expand Energy,EXE,us-stock,0.220,0.542,0.045,519.17,$
nws,News Corp (Class B),NWS,us-stock,0.217,0.409,0.045,303.47,$
nvda,Nvidia,NVDA,us-stock,0.256,0.331,0.045,91.52,$
fox,Fox Corporation (Class B),FOX,us-stock,0.106,0.637,0.045,775.59,$
sbux,Starbucks,SBUX,us-stock,0.224,0.475,0.045,218.67,$
are,Alexandria Real Estate Equities,ARE,us-stock,0.250,0.280,0.045,688.55,$
axon,Axon Enterprise,AXON,us-stock,0.306,0.277,0.045,830.46,$
bro,Brown & Brown,BRO,us-stock,0.317,0.528,0.045,440.89,$
vrt,Vertiv,VRT,us-stock,0.301,0.214,0.045,689.18,$
amat,Applied Materials,AMAT,us-stock,0.086,0.517,0.045,47.51,$
fslr,First Solar,FSLR,us-stock,0.100,0.264,0.045,259.39,$
tt,Trane Technologies,TT,us-stock,0.099,0.566,0.045,911.88,$
iqv,IQVIA,IQV,us-stock,0.190,0.392,0.045,410.40,$
mrna,Moderna,MRNA,us-stock,0.165,0.363,0.045,127.12,$
exc,Exelon,EXC,us-stock,0.082,0.519,0.045,72.61,$
efx,Equifax,EFX,us-stock,0.281,0.201,0.045,849.77,$
hig,Hartford (The),HIG,us-stock,0.177,0.416,0.045,296.94,$
pnw,Pinnacle West Capital,PNW,us-stock,0.265,0.465,0.045,288.70,$
stld,Steel Dynamics,STLD,us-stock,0.330,0.359,0.045,823.90,$
ms,Morgan Stanley,MS,us-stock,0.088,0.253,0.045,227.67,$
schw,Charles Schwab Corporation,SCHW,us-stock,0.282,0.554,0.045,850.97,$
meta,Meta Platforms,META,us-stock,0.160,0.478,0.045,305.08,$
cf,CF Industries,CF,us-stock,0.319,0.634,0.045,868.47,$
fisv,Fiserv,FISV,us-stock,0.255,0.630,0.045,21.04,$
hsy,Hershey Company (The),HSY,us-stock,0.316,0.246,0.045,51.36,$
tsco,Tractor Supply,TSCO,us-stock,0.235,0.365,0.045,552.05,$
sndk,Sandisk,SNDK,us-stock,0.103,0.279,0.045,744.02,$
mar,Marriott International,MAR,us-stock,0.276,0.280,0.045,906.57,$
ed,Consolidated Edison,ED,us-stock,0.310,0.247,0.045,192.15,$
mck,McKesson Corporation,MCK,us-stock,0.247,0.299,0.045,123.48,$
acgl,Arch Capital Group,ACGL,us-stock,0.261,0.447,0.045,63.84,$
bdx,Becton Dickinson,BDX,us-stock,0.283,0.645,0.045,553.36,$
xom,ExxonMobil,XOM,us-stock,0.254,0.214,0.045,674.97,$
syk,Stryker Corporation,SYK,us-stock,0.148,0.273,0.045,584.79,$
jnj,Johnson & Johnson,JNJ,us-stock,0.337,0.348,0.045,674.58,$
rf,Regions Financial Corporation,RF,us-stock,0.143,0.314,0.045,79.11,$
rl,Ralph Lauren Corporation,RL,us-stock,0.132,0.408,0.045,335.06,$
zbra,Zebra Technologies,ZBRA,us-stock,0.258,0.506,0.045,160.87,$
pnc,PNC Financial Services,PNC,us-stock,0.233,0.560,0.045,959.07,$
xyl,Xylem Inc.,XYL,us-stock,0.126,0.327,0.045,787.80,$
ir,Ingersoll Rand,IR,us-stock,0.272,0.481,0.045,283.91,$
cme,CME Group,CME,us-stock,0.177,0.499,0.045,338.25,$
googl,Alphabet Inc. (Class A),GOOGL,us-stock,0.210,0.389,0.045,777.02,$
gs,Goldman Sachs,GS,us-stock,0.211,0.231,0.045,649.10,$
coin,Coinbase,COIN,us-stock,0.102,0.312,0.045,828.18,$
wtw,Willis Towers Watson,WTW,us-stock,0.321,0.272,0.045,736.21,$
orcl,Oracle Corporation,ORCL,us-stock,0.249,0.522,0.045,893.18,$
lyv,Live Nation Entertainment,LYV,us-stock,0.309,0.477,0.045,814.52,$
syy,Sysco,SYY,us-stock,0.236,0.542,0.045,220.63,$
wynn,Wynn Resorts,WYNN,us-stock,0.090,0.302,0.045,895.05,$
psa,Public Storage,PSA,us-stock,0.226,0.487,0.045,157.15,$
itw,Illinois Tool Works,ITW,us-stock,0.186,0.599,0.045,593.70,$
tdg,TransDigm Group,TDG,us-stock,0.311,0.243,0.045,506.11,$
ter,Teradyne,TER,us-stock,0.104,0.351,0.045,20.49,$
aig,American International Group,AIG,us-stock,0.144,0.633,0.045,982.03,$
gm,General Motors,GM,us-stock,0.265,0.536,0.045,148.97,$
pypl,PayPal,PYPL,us-stock,0.123,0.446,0.045,570.15,$
